sentence_nr	stimulus_nr	stimulus	head	position	trans	target	expected	хо	лъа	лъо	exp	var_nr	var	x	n	sp_code	version	comment	researcher
5	1	в восьмом году	year	adverbial group	Бикьиихоб решиди макIил гванзо раъа рукIа.	бикьиихоб	хоб	exp	++	NA	exp	1	χo	13	13	AAM1963M	1	NA	Chiara
5	1	в восьмом году	year	adverbial group	Бикьиихоб решилъи макIил гванзо раъа рукIа.	бикьиихоб	хоб	exp	*	*	exp	1	χo	13	13	KAA2001F	3	NA	Chiara
5	1	в восьмом году	year	adverbial group	Бикьиихоб решиди макIил рукIа гванзо раъа.	бикьиихоб	хоб	exp	NA	NA	exp	1	χo	13	13	MSM1980F	3	NA	Chiara
5	1	в восьмом году	year	adverbial group	Бикьиихоб решилъи макIил гванзо раъа ида.	бикьиихоб	хоб	exp	NA	NA	exp	1	χo	13	13	PPR1999F	2	NA	Chiara
5	1	в восьмом году	year	adverbial group	Бикьиихоб решиди макIил гванзо раъа рукIа.	бикьиихоб	хоб	exp	*	*	exp	1	χo	13	13	SGR1957M	3	NA	Chiara
6	1	В восьмом году дети хорошо учились.	year	adverbial group	Бикьийхоб решиди/решилъи мак1ил гванзо раъа рук1а	Бикьийхоб	хоб	exp	++	NA	exp	1	χo	13	13	GMM1962M	1	NA	Samira
4	1	В восьмом году дети хорошо учились.	year	core argument	Бикьийхоб решиди гванзо раъа рук1а мак1ил.	Бикьийхоб	хоб	exp	*	NA	exp	1	χo	13	13	RPM1970F	3	NA	Samira
4	1	В восьмом году дети хорошо учились.	year	core argument	Бикьихоб решиди мак1ил гванзо раъа рук1а.	Бикьихоб	хоб	exp	*	NA	exp	1	χo	13	13	AMG1954M	3	NA	Samira
4	1	В восьмом году дети хорошо учились.	year	core argument	Бикьихоб решиди мак1ил гванзо раъа рук1а.	Бикьихоб	хоб	exp	*	NA	exp	1	χo	13	13	MKM1966M	3	NA	Samira
4	1	В восьмом году дети хорошо учились.	year	core argument	Бикьихоб каласалъи гванзо раъа рагье.	Бикьихоб	хоб	exp	++	NA	exp	1	χo	13	13	OPO1932F	3	NA	Samira
4	1	В восьмом году дети хорошо учились.	year	core argument	Бикьихоб решилъи мак1ил раъа рагьихал (учились, делали) рук1а гванзо	Бикьихоб	хоб	exp	NA	NA	exp	1	χo	13	13	ShPO1962F	3	NA	Samira
5	1	В восьмом году дети хорошо учились.	year	adverbial group	Бикьихоб решилъи мак1ил гванзо раъа рук1а	Бикьихоб	хоб	exp	NA	NA	exp	1	χo	13	13	XPS1962F	2	NA	Samira
6	1	В восьмом году дети хорошо учились.	year	adverbial group	Бикьихоб решиди мак1ил гванзо раъа рук1а	Бикьихоб	хоб	exp	*	*	exp	1	χo	13	13	AAD1969F	1	NA	Samira
15	2	В двенадцатом году муж ездил в Москву.	year	adverbial group	NA	Гьац1а*лъи к1ейихоб/лъаб можно решиди кунт1а ваъа вук1а москва-лъа	хоб	exp	++	NA	exp	1	χo	13	13	GMM1962M	1	объяснение очень странное	Samira
15	2	В двенадцатом году муж ездил в Москву.	year	adverbial group	Гьац1алъи к1ейихоб решиди кунт1а ваъа вук1а москвалъа	Гьац1алъи к1ейихоб	хоб	exp	*	NA	exp	1	χo	13	13	AAD1969F	1	NA	Samira
7	2	В двенадцатом году муж ездил в Москву.	year	adverbial group	Гьац1алъи к1ейихоб решиди кунт1а масквалъа ва2ъа вук1а.	Гьац1алъи к1ейихоб	хоб	exp	*	NA	exp	1	χo	13	13	AMG1954M	3	NA	Samira
7	2	В двенадцатом году муж ездил в Москву.	year	adverbial group	Гьац1алъи к1ейихоб решиди вацци ва2ъа масквалъа.	Гьац1алъи к1ейихоб	хоб	exp	*	NA	exp	1	χo	13	13	MKM1966M	3	NA	Samira
7	2	В двенадцатом году муж ездил в Москву.	year	adverbial group	Гьац1алъи к1ейихоб решиди кунт1а ва2ъа масквалъа.	Гьац1алъи к1ейихоб	хоб	exp	NA	NA	exp	1	χo	13	13	OPO1932F	3	NA	Samira
7	2	В двенадцатом году муж ездил в Москву.	year	adverbial group	Гьац1алъи к1ейихоб решиди кунт1а масквалъа ва2ъа вук1а.	Гьац1алъи к1ейихоб	хоб	exp	*	*	exp	1	χo	13	13	RPM1970F	3	NA	Samira
7	2	В двенадцатом году муж ездил в Москву.	year	adverbial group	Гьац1алъи к1ейихоб решилъи кунт1а ва2ъа вук1а масквалъа.	Гьац1алъи к1ейихоб	хоб	exp	NA	NA	exp	1	χo	13	13	ShPO1962F	3	NA	Samira
9	2	В двенадцатом году муж ездил в Москву.	year	adverbial group	Гьац1алъи к1ейихоб решиди кунт1а ва2ъа москву	Гьац1алъи к1ейихоб	хоб	exp	NA	+	exp	1	χo	13	13	XPS1962F	2	NA	Samira
9	2	в двенадцатом году	year	adverbial group	ГьацIалъи кIейихоб решиди кунтIа ваъа Москвалъа.	гьацIалъи кIейихоб	хоб	exp	++	NA	exp	1	χo	13	13	AAM1963M	1	NA	Chiara
9	2	в двенадцатом году	year	adverbial group	ГьацIалъи кIейихоб решиди кунтIа ваъа вукIа Москвалъа.	гьацIалъи кIейихоб	хоб	exp	*	*	exp	1	χo	13	13	KAA2001F	3	NA	Chiara
9	2	в двенадцатом году	year	adverbial group	ГьацIалъи кIейихоб решиди кунтIа ваъа вукIа Москвалъа.	гьацIалъи кIейихоб	хоб	exp	NA	NA	exp	1	χo	13	13	MSM1980F	3	NA	Chiara
9	2	в двенадцатом году	year	adverbial group	ГьацIалъи кIейихоб решиди кунтIа ваъида Москвалъа.	гьацIалъи кIейихоб	хоб	exp	NA	NA	exp	1	χo	13	13	PPR1999F	2	NA	Chiara
9	2	в двенадцатом году	year	adverbial group	ГьацIалъи кIейихоб решиди кунтIа ваъа вукIа Москвалъа.	гьацIалъи кIейихоб	хоб	exp	*	*	exp	1	χo	13	13	SGR1957M	3	NA	Chiara
2	3	В девятом классе бывают хорошие оценки, а в десятом классе не бывает хороших оценок.	grade	adverbial phrase	Гьач1айхоб к(а)ласалъи къиматабалъи гванзи бук1е, гьац1айхоблъу гванзи бук1еуч1у.	гьач1айхоб	хоб	exp	+	*	exp	1	χo	12	13	AAD1969F	1	NA	Samira
2	3	В девятом классе бывают хорошие оценки, а в десятом классе не бывает хороших оценок.	grade	adverbial group	Гьач1айхоб класалъи гванзи къир*матабалъи бук1е, амма гьац1айхоб класалъи гванзи къирматабалъи бук1евч1у	Гьач1айхоб	хоб	exp	NA	NA	exp	1	χo	12	13	GMM1962M	1	NA	Samira
